id wpss week order weekc chng
 1    1    1     0  -2.5 -0.5
 1    1    2     0  -1.5  0.0
 1    1    3     0  -0.5  0.5
 1    1    4     0   0.5  0.5
 1    1    5     0   1.5  0.0
 1    1    6     0   2.5 -0.5
 2    4    1     0  -2.5 -0.5
 2    3    2     0  -1.5  0.0
 2    3    3     0  -0.5  0.5
 2    3    4     0   0.5  0.5
 2    4    5     0   1.5  0.0
 2    4    6     0   2.5 -0.5
 3    4    1     0  -2.5 -0.5
 3    3    2     0  -1.5  0.0
 3    3    3     0  -0.5  0.5
 3    4    4     0   0.5  0.5
 3    4    5     0   1.5  0.0
 3    4    6     0   2.5 -0.5
 4    5    1     0  -2.5 -0.5
 4    3    2     0  -1.5  0.0
 4    2    3     0  -0.5  0.5
 4    2    4     0   0.5  0.5
 4    5    5     0   1.5  0.0
 4    5    6     0   2.5 -0.5
 5    5    1     0  -2.5 -0.5
 5    5    2     0  -1.5  0.0
 5    1    3     0  -0.5  0.5
 5    2    4     0   0.5  0.5
 5    2    5     0   1.5  0.0
 5    2    6     0   2.5 -0.5
 6    3    1     0  -2.5 -0.5
 6    2    2     0  -1.5  0.0
 6    2    3     0  -0.5  0.5
 6    2    4     0   0.5  0.5
 6    1    5     0   1.5  0.0
 6    1    6     0   2.5 -0.5
 7    5    1     0  -2.5 -0.5
 7    5    2     0  -1.5  0.0
 7    5    3     0  -0.5  0.5
 7    5    4     0   0.5  0.5
 7    1    5     0   1.5  0.0
 7    1    6     0   2.5 -0.5
 8    3    1     0  -2.5 -0.5
 8    3    2     0  -1.5  0.0
 8    3    3     0  -0.5  0.5
 8    4    4     0   0.5  0.5
 8    4    5     0   1.5  0.0
 8    4    6     0   2.5 -0.5
 9    2    1     0  -2.5 -0.5
 9    1    2     0  -1.5  0.0
 9    1    3     0  -0.5  0.5
 9    1    4     0   0.5  0.5
 9    1    5     0   1.5  0.0
 9    1    6     0   2.5 -0.5
10    5    1     0  -2.5 -0.5
10    5    2     0  -1.5  0.0
10    5    3     0  -0.5  0.5
10    5    4     0   0.5  0.5
10    5    5     0   1.5  0.0
10    5    6     0   2.5 -0.5
11    3    1     0  -2.5 -0.5
11    3    2     0  -1.5  0.0
11    3    3     0  -0.5  0.5
11    3    4     0   0.5  0.5
11    1    5     0   1.5  0.0
11    1    6     0   2.5 -0.5
12    3    1     0  -2.5 -0.5
12    3    2     0  -1.5  0.0
12    2    3     0  -0.5  0.5
12    2    4     0   0.5  0.5
12    3    5     0   1.5  0.0
12    3    6     0   2.5 -0.5
13    5    1     0  -2.5 -0.5
13    4    2     0  -1.5  0.0
13    3    3     0  -0.5  0.5
13    1    4     0   0.5  0.5
13    1    5     0   1.5  0.0
13    1    6     0   2.5 -0.5
14    6    1     0  -2.5 -0.5
14    5    2     0  -1.5  0.0
14    5    3     0  -0.5  0.5
14    5    4     0   0.5  0.5
14    5    5     0   1.5  0.0
14    6    6     0   2.5 -0.5
15    1    1     0  -2.5 -0.5
15    1    2     0  -1.5  0.0
15    1    3     0  -0.5  0.5
15    1    4     0   0.5  0.5
15    1    5     0   1.5  0.0
15    1    6     0   2.5 -0.5
16    2    1     0  -2.5 -0.5
16    2    2     0  -1.5  0.0
16    3    3     0  -0.5  0.5
16    3    4     0   0.5  0.5
16    3    5     0   1.5  0.0
16    3    6     0   2.5 -0.5
17    1    1     0  -2.5 -0.5
17    1    2     0  -1.5  0.0
17    1    3     0  -0.5  0.5
17    1    4     0   0.5  0.5
17    1    5     0   1.5  0.0
17    1    6     0   2.5 -0.5
18    5    1     0  -2.5 -0.5
18    4    2     0  -1.5  0.0
18    4    3     0  -0.5  0.5
18    1    4     0   0.5  0.5
18    1    5     0   1.5  0.0
18    1    6     0   2.5 -0.5
19    5    1     0  -2.5 -0.5
19    5    2     0  -1.5  0.0
19    5    3     0  -0.5  0.5
19    4    4     0   0.5  0.5
19    4    5     0   1.5  0.0
19    3    6     0   2.5 -0.5
20    4    1     0  -2.5 -0.5
20    4    2     0  -1.5  0.0
20    3    3     0  -0.5  0.5
20    3    4     0   0.5  0.5
20    3    5     0   1.5  0.0
20    3    6     0   2.5 -0.5
21    2    1     0  -2.5 -0.5
21    1    2     0  -1.5  0.0
21    1    3     0  -0.5  0.5
21    1    4     0   0.5  0.5
21    1    5     0   1.5  0.0
21    1    6     0   2.5 -0.5
22    2    1     0  -2.5 -0.5
22    3    2     0  -1.5  0.0
22    4    3     0  -0.5  0.5
22    3    4     0   0.5  0.5
22    4    5     0   1.5  0.0
22    2    6     0   2.5 -0.5
23    3    1     0  -2.5 -0.5
23    3    2     0  -1.5  0.0
23    3    3     0  -0.5  0.5
23    3    4     0   0.5  0.5
23    3    5     0   1.5  0.0
23    3    6     0   2.5 -0.5
24    5    1     0  -2.5 -0.5
24    6    2     0  -1.5  0.0
24    5    3     0  -0.5  0.5
24    6    4     0   0.5  0.5
24    5    5     0   1.5  0.0
24    6    6     0   2.5 -0.5
25    5    1     0  -2.5 -0.5
25    5    2     0  -1.5  0.0
25    5    3     0  -0.5  0.5
25    5    4     0   0.5  0.5
25    5    5     0   1.5  0.0
25    5    6     0   2.5 -0.5
26    3    1     0  -2.5 -0.5
26    3    2     0  -1.5  0.0
26    3    3     0  -0.5  0.5
26    1    4     0   0.5  0.5
26    1    5     0   1.5  0.0
26    1    6     0   2.5 -0.5
27    6    1     0  -2.5 -0.5
27    6    2     0  -1.5  0.0
27    6    3     0  -0.5  0.5
27    6    4     0   0.5  0.5
27    6    5     0   1.5  0.0
