"Participant","Partner","Stakes","Context","Trustworthiness","Risk"
1,"hu","LS","med",6.11111111111111,3
1,"AI","LS","med",5.55555555555556,5
1,"hu","HS","med",6,2
1,"AI","HS","med",6.11111111111111,3
2,"hu","LS","med",6.77777777777778,2
2,"AI","LS","med",3,4
2,"hu","HS","med",6.77777777777778,1
2,"AI","HS","med",3.33333333333333,3
3,"hu","LS","med",6.66666666666667,1
3,"AI","LS","med",5,2
3,"hu","HS","med",6.88888888888889,1
3,"AI","HS","med",4.44444444444444,4
4,"hu","LS","med",5.66666666666667,2
4,"AI","LS","med",4.66666666666667,3
4,"hu","HS","med",6,4
4,"AI","HS","med",4.88888888888889,5
5,"hu","LS","med",5,2
5,"AI","LS","med",3.11111111111111,4
5,"hu","HS","med",6,3
5,"AI","HS","med",3.77777777777778,4
6,"hu","LS","med",5.88888888888889,1
6,"AI","LS","med",5.66666666666667,1
6,"hu","HS","med",5.66666666666667,2
6,"AI","HS","med",3.66666666666667,2
7,"hu","LS","med",5,1
7,"AI","LS","med",3.66666666666667,2
7,"hu","HS","med",6,6
7,"AI","HS","med",3.33333333333333,7
8,"hu","LS","med",6.22222222222222,2
8,"AI","LS","med",5.77777777777778,3
8,"hu","HS","med",6.66666666666667,2
8,"AI","HS","med",6.55555555555556,2
9,"hu","LS","med",5.88888888888889,1
9,"AI","LS","med",4.66666666666667,1
9,"hu","HS","med",4.88888888888889,2
9,"AI","HS","med",3.66666666666667,3
10,"hu","LS","med",6,3
10,"AI","LS","med",5.77777777777778,3
10,"hu","HS","med",6,3
10,"AI","HS","med",4.11111111111111,5
11,"hu","LS","med",6,2
11,"AI","LS","med",4.77777777777778,7
11,"hu","HS","med",5.88888888888889,7
11,"AI","HS","med",4.33333333333333,6
12,"hu","LS","med",6,1
12,"AI","LS","med",5.22222222222222,1
12,"hu","HS","med",7,1
12,"AI","HS","med",4.77777777777778,2
13,"hu","LS","med",6,2
13,"AI","LS","med",3.11111111111111,5
13,"hu","HS","med",6.33333333333333,2
13,"AI","HS","med",3.22222222222222,7
14,"hu","LS","med",7,1
14,"AI","LS","med",5,1
14,"hu","HS","med",7,2
14,"AI","HS","med",3.22222222222222,3
15,"hu","LS","med",6,1
15,"AI","LS","med",6,1
15,"hu","HS","med",7,1
15,"AI","HS","med",7,1
16,"hu","LS","med",5.88888888888889,1
16,"AI","LS","med",2.55555555555556,5
16,"hu","HS","med",6,1
16,"AI","HS","med",2.33333333333333,7
17,"hu","LS","med",5.88888888888889,1
17,"AI","LS","med",5.33333333333333,1
17,"hu","HS","med",6.55555555555556,3
17,"AI","HS","med",4.66666666666667,6
18,"hu","LS","med",7,1
18,"AI","LS","med",6.77777777777778,1
18,"hu","HS","med",7,3
18,"AI","HS","med",6.66666666666667,4
19,"hu","LS","med",6,2
19,"AI","LS","med",4.88888888888889,3
19,"hu","HS","med",7,7
19,"AI","HS","med",4.88888888888889,4
20,"hu","LS","med",7,1
20,"AI","LS","med",5.33333333333333,1
20,"hu","HS","med",6.44444444444444,1
20,"AI","HS","med",4.55555555555556,3
21,"hu","LS","med",6.22222222222222,4
21,"AI","LS","med",5.44444444444444,5
21,"hu","HS","med",6,5
21,"AI","HS","med",5.55555555555556,6
22,"hu","LS","med",6,6
22,"AI","LS","med",4.66666666666667,6
22,"hu","HS","med",5.11111111111111,6
22,"AI","HS","med",4.33333333333333,6
23,"hu","LS","med",6,2
23,"AI","LS","med",3.66666666666667,5
23,"hu","HS","med",6.22222222222222,2
23,"AI","HS","med",3,6
24,"hu","LS","med",6,1
24,"AI","LS","med",5.11111111111111,2
24,"hu","HS","med",6,1
24,"AI","HS","med",4.66666666666667,2
25,"hu","LS","med",6.66666666666667,1
25,"AI","LS","med",5.11111111111111,1
25,"hu","HS","med",6.66666666666667,2
25,"AI","HS","med",4.11111111111111,6
26,"hu","LS","med",6.55555555555556,1
26,"AI","LS","med",5.11111111111111,2
26,"hu","HS","med",7,1
26,"AI","HS","med",5.11111111111111,6
27,"hu","LS","med",4,3
27,"AI","LS","med",4,3
27,"hu","HS","med",5.33333333333333,5
27,"AI","HS","med",3.88888888888889,5
28,"hu","LS","med",6,7
28,"AI","LS","med",5.88888888888889,7
28,"hu","HS","med",6,6
28,"AI","HS","med",5,6
29,"hu","LS","med",7,2
29,"AI","LS","med",4.77777777777778,2
29,"hu","HS","med",6.55555555555556,1
29,"AI","HS","med",4.44444444444444,4
30,"hu","LS","med",6,1
30,"AI","LS","med",6,2
30,"hu","HS","med",6,5
30,"AI","HS","med",6,6
31,"hu","LS","med",7,1
31,"AI","LS","med",5.77777777777778,2
31,"hu","HS","med",7,1
31,"AI","HS","med",4.55555555555556,4
32,"hu","LS","med",6.33333333333333,2
