,SoSciCondition,participantID,condition,Text_SoSci,color,sentence_x,answer,Text_x,Position,sentence_y,confidence,sentence_x,reading_time,sentence_y,truthvalue,Text_y,read,correctAnswer
0,3,4559,control,1,6,T108_01,1,1,1,T110_01,6.0,T111_01a,3600.0,TC04x01,true,TC04,1,1
1,2,59361,high,1,4,T108_01,1,1,1,T110_01,6.0,T111_01a,1771.0,TC04x01,true,TC04,1,1
2,2,94677,high,1,4,T108_01,1,1,1,T110_01,6.0,T111_01a,3408.0,TC04x01,true,TC04,1,1
3,3,39514,control,1,6,T108_01,1,1,1,T110_01,4.0,T111_01a,1453.0,TC04x01,true,TC04,1,1
4,3,89555,control,1,5,T108_01,1,1,1,T110_01,5.0,T111_01a,2175.0,TC04x01,true,TC04,1,1
5,1,99467,low,1,2,T108_01,1,1,1,T110_01,6.0,T111_01a,1736.0,TC04x01,true,TC04,1,1
6,2,54447,high,1,3,T108_01,1,1,1,T110_01,6.0,T111_01a,4695.0,TC04x01,false,TC04,1,1
7,1,70147,low,1,1,T108_01,1,1,1,T110_01,6.0,T111_01a,4031.0,TC04x01,true,TC04,1,1
8,3,85033,control,1,5,T108_01,1,1,1,T110_01,6.0,T111_01a,1859.0,TC04x01,true,TC04,1,1
9,2,24500,high,1,4,T108_01,1,1,1,T110_01,5.0,T111_01a,1596.0,TC04x01,true,TC04,1,1
10,2,19117,high,1,3,T108_01,1,1,1,T110_01,6.0,T111_01a,5318.0,TC04x01,true,TC04,1,1
11,1,80909,low,1,2,T108_01,1,1,1,T110_01,4.0,T111_01a,2633.0,TC04x01,false,TC04,1,1
12,1,48497,low,1,2,T108_01,1,1,1,T110_01,5.0,T111_01a,2143.0,TC04x01,true,TC04,1,1
13,2,33490,high,1,3,T108_01,1,1,1,T110_01,6.0,T111_01a,4488.0,TC04x01,true,TC04,1,1
14,3,63779,control,1,6,T108_01,1,1,1,T110_01,6.0,T111_01a,11674.0,TC04x01,true,TC04,1,1
