"X" "SoSciCondition" "participantID" "condition" "Text_SoSci" "color" "answer" "Text" "Position" "confidence" "reading_time" "truthvalue" "read" "target_distractor" "itemID" "correctAnswer" "confunded" "wrong" "memory"
"1" 0 1 "12568" "low" 1 1 1 1 1 3 5053 "false" 1 "target" "11" "0" 1 0 1
"2" 1 2 "83762" "high" 1 4 1 1 1 2 3743 "true" 1 "target" "11" "1" 0 0 1
"3" 2 2 "43969" "high" 1 3 2 1 1 2 6527 "false" 1 "target" "11" "1" 0 0 1
"4" 3 2 "45923" "high" 1 3 2 1 1 6 3567 "false" 1 "target" "11" "1" 0 0 1
"5" 4 1 "30838" "low" 1 2 1 1 1 5 3256 "true" 1 "target" "11" "1" 0 0 1
"6" 5 2 "20224" "high" 1 4 1 1 1 4 2282 "true" 1 "target" "11" "1" 0 0 1
"7" 6 2 "3783" "high" 1 4 2 1 1 2 2861 "false" 1 "target" "11" "1" 0 0 1
"8" 7 1 "41892" "low" 1 1 1 1 1 4 2233 "false" 1 "target" "11" "0" 1 0 1
"9" 8 1 "77188" "low" 1 1 1 1 1 6 3484 "true" 1 "target" "11" "1" 0 0 1
"10" 9 2 "96600" "high" 1 3 3 1 1 3 8850 "false" 1 "target" "11" "0" 0 1 0
"11" 10 2 "40947" "high" 1 3 1 1 1 6 2136 "true" 1 "target" "11" "1" 0 0 1
"12" 11 2 "59161" "high" 1 4 3 1 1 6 1698 "true" 1 "target" "11" "0" 0 1 0
"13" 12 2 "5499" "high" 1 3 1 1 1 6 1561 "true" 1 "target" "11" "1" 0 0 1
"14" 13 2 "37335" "high" 1 4 2 1 1 6 4927 "true" 1 "target" "11" "0" 1 0 1
"15" 14 1 "89895" "low" 1 2 1 1 1 6 3403 "true" 1 "target" "11" "1" 0 0 1
"16" 15 1 "84292" "low" 1 1 1 1 1 4 2314 "true" 1 "target" "11" "1" 0 0 1
"17" 16 2 "15110" "high" 1 4 1 1 1 6 2035 "true" 1 "target" "11" "1" 0 0 1
"18" 17 1 "93166" "low" 1 1 2 1 1 3 10345 "false" 1 "target" "11" "1" 0 0 1
"19" 18 2 "3025" "high" 1 4 1 1 1 6 1669 "true" 1 "target" "11" "1" 0 0 1
"20" 19 2 "12667" "high" 1 3 3 1 1 6 2557 "false" 1 "target" "11" "0" 0 1 0
"21" 20 1 "45960" "low" 1 2 2 1 1 6 2529 "false" 1 "target" "11" "1" 0 0 1
"22" 21 1 "8189" "low" 1 1 1 1 1 6 1614 "true" 1 "target" "11" "1" 0 0 1
"23" 22 1 "32975" "low" 1 2 1 1 1 6 1829 "true" 1 "target" "11" "1" 0 0 1
"24" 23 1 "33094" "low" 1 1 1 1 1 4 2866 "true" 1 "target" "11" "1" 0 0 1
"25" 24 2 "39006" "high" 1 4 1 1 1 6 2330 "true" 1 "target" "11" "1" 0 0 1
"26" 25 2 "26375" "high" 1 3 1 1 1 3 1088 "true" 1 "target" "11" "1" 0 0 1
"27" 26 2 "75897" "high" 1 4 1 1 1 4 2115 "false" 1 "target" "11" "0" 1 0 1
"28" 27 1 "97362" "low" 1 2 1 1 1 5 1689 "true" 1 "target" "11" "1" 0 0 1
"29" 28 1 "92806" "low" 1 2 1 1 1 4 3335 "true" 1 "target" "11" "1" 0 0 1
"30" 29 1 "10999" "low" 1 1 1 1 1 6 4794 "false" 1 "target" "11" "0" 1 0 1
"31" 30 1 "34287" "low" 1 2 1 1 1 5 1495 "true" 1 "target" "11" "1" 0 0 1
"32" 31 1 "41199" "low" 1 2 1 1 1 3 2503 "true" 1 "target" "11" "1" 0 0 1
"33" 32 2 "77902" "high" 1 4 1 1 1 3 2312 "false" 1 "target" "11" "0" 1 0 1
"34" 33 1 "3872" "low" 1 2 1 1 1 2 3475 "true" 1 "target" "11" "1" 0 0 1
"35" 34 2 "9759" "high" 1 3 1 1 1 5 2812 "false" 1 "target" "11" "0" 1 0 1
"36" 35 1 "58980" "low" 1 1 1 1 1 4 1000 "false" 1 "target" "11" "0" 1 0 1
"37" 36 1 "91081" "low" 1 2 1 1 1 4 11495 "false" 1 "target" "11" "0" 1 0 1
"38" 37 2 "32890" "high" 1 3 1 1 1 1 1366 "true" 1 "target" "11" "1" 0 0 1
"39" 38 2 "23770" "high" 1 3 1 1 1 4 2185 "true" 1 "target" "11" "1" 0 0 1
"40" 39 2 "85352" "high" 1 3 1 1 1 6 2925 "true" 1 "target" "11" "1" 0 0 1
"41" 40 1 "66520" "low" 1 1 1 1 1 6 2223 "true" 1 "target" "11" "1" 0 0 1
"42" 41 1 "41337" "low" 1 2 2 1 1 1 1896 "true" 1 "target" "11" "0" 1 0 1
"43" 42 2 "42829" "high" 1 3 1 1 1 1 2181 "true" 1 "target" "11" "1" 0 0 1
"44" 43 1 "13775" "low" 1 2 1 1 1 1 1571 "false" 1 "target" "11" "0" 1 0 1
"46" 45 2 "76218" "high" 1 3 2 1 1 6 5335 "false" 1 "target" "11" "1" 0 0 1
"47" 46 2 "98987" "high" 1 3 1 1 1 6 961 "true" 1 "target" "11" "1" 0 0 1
"48" 47 1 "10849" "low" 1 2 1 1 1 4 1297 "true" 1 "target" "11" "1" 0 0 1
"50" 49 1 "61333" "low" 1 2 1 1 1 6 1385 "false" 1 "target" "11" "0" 1 0 1
"51" 50 2 "94819" "high" 1 3 1 1 1 6 1121 "true" 1 "target" "11" "1" 0 0 1
"52" 51 2 "67027" "high" 1 3 1 1 1 5 921 "true" 1 "target" "11" "1" 0 0 1
"53" 52 1 "90309" "low" 1 2 1 1 1 5 6709 "true" 1 "target" "11" "1" 0 0 1
"54" 53 1 "12568" "low" 1 1 3 1 2 3 2421 "true" 1 "target" "12" "0" 0 1 0
"55" 54 2 "83762" "high" 1 4 1 1 2 4 3075 "true" 1 "target" "12" "1" 0 0 1
"56" 55 2 "43969" "high" 1 3 2 1 2 1 3669 "true" 1 "target" "12" "0" 1 0 1
"57" 56 2 "45923" "high" 1 3 1 1 2 4 2929 "true" 1 "target" "12" "1" 0 0 1
"58" 57 1 "30838" "low" 1 2 1 1 2 4 3447 "true" 1 "target" "12" "1" 0 0 1
"59" 58 2 "20224" "high" 1 4 2 1 2 2 2383 "true" 1 "target" "12" "0" 1 0 1
"60" 59 2 "3783" "high" 1 4 1 1 2 1 3078 "true" 1 "target" "12" "1" 0 0 1
"61" 60 1 "41892" "low" 1 1 1 1 2 3 2519 "true" 1 "target" "12" "1" 0 0 1
"62" 61 1 "77188" "low" 1 1 1 1 2 5 6248 "true" 1 "target" "12" "1" 0 0 1
"63" 62 2 "96600" "high" 1 3 3 1 2 4 3574 "true" 1 "target" "12" "0" 0 1 0
"64" 63 2 "40947" "high" 1 3 2 1 2 6 2592 "true" 1 "target" "12" "0" 1 0 1
"65" 64 2 "59161" "high" 1 4 2 1 2 1 3550 "false" 1 "target" "12" "1" 0 0 1
"66" 65 2 "5499" "high" 1 3 1 1 2 4 8087 "true" 1 "target" "12" "1" 0 0 1
"67" 66 2 "37335" "high" 1 4 2 1 2 1 2452 "true" 1 "target" "12" "0" 1 0 1
"68" 67 1 "89895" "low" 1 2 1 1 2 6 2305 "true" 1 "target" "12" "1" 0 0 1
"69" 68 1 "84292" "low" 1 1 1 1 2 1 3657 "true" 1 "target" "12" "1" 0 0 1
"70" 69 2 "15110" "high" 1 4 3 1 2 3 4334 "true" 1 "target" "12" "0" 0 1 0
"71" 70 1 "93166" "low" 1 1 3 1 2 4 3713 "true" 1 "target" "12" "0" 0 1 0
"72" 71 2 "3025" "high" 1 4 1 1 2 1 1495 "true" 1 "target" "12" "1" 0 0 1
"73" 72 2 "12667" "high" 1 3 1 1 2 4 1708 "true" 1 "target" "12" "1" 0 0 1
"74" 73 1 "45960" "low" 1 2 2 1 2 1 1248 "true" 1 "target" "12" "0" 1 0 1
"75" 74 1 "8189" "low" 1 1 1 1 2 4 1937 "true" 1 "target" "12" "1" 0 0 1
"76" 75 1 "32975" "low" 1 2 3 1 2 1 2888 "true" 1 "target" "12" "0" 0 1 0
"77" 76 1 "33094" "low" 1 1 3 1 2 2 3155 "true" 1 "target" "12" "0" 0 1 0
"78" 77 2 "39006" "high" 1 4 3 1 2 1 2253 "true" 1 "target" "12" "0" 0 1 0
"79" 78 2 "26375" "high" 1 3 1 1 2 3 1231 "true" 1 "target" "12" "1" 0 0 1
"80" 79 2 "75897" "high" 1 4 3 1 2 6 3049 "false" 1 "target" "12" "0" 0 1 0
"81" 80 1 "97362" "low" 1 2 1 1 2 6 3160 "true" 1 "target" "12" "1" 0 0 1
"82" 81 1 "92806" "low" 1 2 3 1 2 4 4007 "true" 1 "target" "12" "0" 0 1 0
"83" 82 1 "10999" "low" 1 1 1 1 2 4 7135 "true" 1 "target" "12" "1" 0 0 1
"84" 83 1 "34287" "low" 1 2 2 1 2 2 1376 "false" 1 "target" "12" "1" 0 0 1
"85" 84 1 "41199" "low" 1 2 1 1 2 4 1551 "true" 1 "target" "12" "1" 0 0 1
"86" 85 2 "77902" "high" 1 4 2 1 2 4 2021 "true" 1 "target" "12" "0" 1 0 1
"87" 86 1 "3872" "low" 1 2 2 1 2 3 4399 "true" 1 "target" "12" "0" 1 0 1
"88" 87 2 "9759" "high" 1 3 1 1 2 1 2457 "true" 1 "target" "12" "1" 0 0 1
"89" 88 1 "58980" "low" 1 1 1 1 2 5 1336 "true" 1 "target" "12" "1" 0 0 1
"90" 89 1 "91081" "low" 1 2 1 1 2 5 7244 "true" 1 "target" "12" "1" 0 0 1
"91" 90 2 "32890" "high" 1 3 1 1 2 1 1989 "true" 1 "target" "12" "1" 0 0 1
"92" 91 2 "23770" "high" 1 3 1 1 2 2 2168 "true" 1 "target" "12" "1" 0 0 1
"93" 92 2 "85352" "high" 1 3 1 1 2 5 3453 "true" 1 "target" "12" "1" 0 0 1
